OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
606,8059011401,"Census Tract 114.01, Jefferson County, Colorado",Jefferson,2288,21,17.4,95% C.I.: 16.7 - 18.2,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
607,8059012059,"Census Tract 120.59, Jefferson County, Colorado",Jefferson,2419,21,13.1,95% C.I.: 12.9 - 13.4,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
608,8059009849,"Census Tract 98.49, Jefferson County, Colorado",Jefferson,4532,21,12.3,95% C.I.: 11.9 - 12.7,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
609,8059012060,"Census Tract 120.60, Jefferson County, Colorado",Jefferson,2526,21,13.5,95% C.I.: 13.1 - 13.9,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
610,8059011805,"Census Tract 118.05, Jefferson County, Colorado",Jefferson,4418,21,12.4,95% C.I.: 11.9 - 13,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
611,8059011806,"Census Tract 118.06, Jefferson County, Colorado",Jefferson,4001,21,16.5,95% C.I.: 16 - 17.1,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
612,8059011733,"Census Tract 117.33, Jefferson County, Colorado",Jefferson,1118,21,14.7,95% C.I.: 14.1 - 15.3,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
613,8099000200,"Census Tract 2, Prowers County, Colorado",Prowers,1940,6,14.5,95% C.I.: 12.6 - 18.6,Lowest Quintile,County/Regional Estimate 20.1% (95% C.I.: 14.1 - 26.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
614,8099000100,"Census Tract 1, Prowers County, Colorado",Prowers,1066,6,21.1,95% C.I.: 19.1 - 23.6,Middle Quintile,County/Regional Estimate 20.1% (95% C.I.: 14.1 - 26.1),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
615,8099000300,"Census Tract 3, Prowers County, Colorado",Prowers,3380,6,17.7,95% C.I.: 15.6 - 21,Lowest Quintile,County/Regional Estimate 20.1% (95% C.I.: 14.1 - 26.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
616,8099000600,"Census Tract 6, Prowers County, Colorado",Prowers,1055,6,18,95% C.I.: 16.1 - 21.6,Second Quintile,County/Regional Estimate 20.1% (95% C.I.: 14.1 - 26.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
617,8059011732,"Census Tract 117.32, Jefferson County, Colorado",Jefferson,4344,21,12.6,95% C.I.: 12.1 - 13.1,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
618,8059011402,"Census Tract 114.02, Jefferson County, Colorado",Jefferson,3646,21,14.4,95% C.I.: 13.8 - 15,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
619,8059015900,"Census Tract 159, Jefferson County, Colorado",Jefferson,2823,21,14,95% C.I.: 13.4 - 14.5,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
620,8059009850,"Census Tract 98.50, Jefferson County, Colorado",Jefferson,2050,21,15.1,95% C.I.: 14.8 - 15.5,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
621,8059009852,"Census Tract 98.52, Jefferson County, Colorado",Jefferson,3152,21,14.2,95% C.I.: 13.8 - 14.5,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
622,8059012047,"Census Tract 120.47, Jefferson County, Colorado",Jefferson,3283,21,13.5,95% C.I.: 13.1 - 13.9,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
623,8059011712,"Census Tract 117.12, Jefferson County, Colorado",Jefferson,3513,21,14.4,95% C.I.: 14 - 14.7,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
624,8059010901,"Census Tract 109.01, Jefferson County, Colorado",Jefferson,4020,21,14.6,95% C.I.: 14.2 - 15,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
625,8059012032,"Census Tract 120.32, Jefferson County, Colorado",Jefferson,2024,21,14.7,95% C.I.: 14.3 - 15,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
626,8059012033,"Census Tract 120.33, Jefferson County, Colorado",Jefferson,2206,21,14.8,95% C.I.: 14.5 - 15.1,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
627,8059009843,"Census Tract 98.43, Jefferson County, Colorado",Jefferson,5982,21,13.8,95% C.I.: 13.5 - 14.1,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
628,8059012027,"Census Tract 120.27, Jefferson County, Colorado",Jefferson,2776,21,14.5,95% C.I.: 14.2 - 14.9,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
629,8059010405,"Census Tract 104.05, Jefferson County, Colorado",Jefferson,2187,21,13.7,95% C.I.: 13.2 - 14.2,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
630,8059012026,"Census Tract 120.26, Jefferson County, Colorado",Jefferson,2715,21,14.5,95% C.I.: 14.1 - 14.8,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
631,8059012035,"Census Tract 120.35, Jefferson County, Colorado",Jefferson,3808,21,14.2,95% C.I.: 13.8 - 14.5,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
632,8059012037,"Census Tract 120.37, Jefferson County, Colorado",Jefferson,2956,21,13.8,95% C.I.: 13.4 - 14.1,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
633,8059012031,"Census Tract 120.31, Jefferson County, Colorado",Jefferson,3394,21,13.8,95% C.I.: 13.4 - 14.1,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
634,8059012030,"Census Tract 120.30, Jefferson County, Colorado",Jefferson,3155,21,14,95% C.I.: 13.6 - 14.3,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
635,8059009900,"Census Tract 99, Jefferson County, Colorado",Jefferson,2085,21,12.2,95% C.I.: 11.8 - 12.5,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
636,8059009846,"Census Tract 98.46, Jefferson County, Colorado",Jefferson,3407,21,15.7,95% C.I.: 15.4 - 16.1,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
637,8059009847,"Census Tract 98.47, Jefferson County, Colorado",Jefferson,2376,21,14.5,95% C.I.: 14.2 - 14.8,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
638,8059012023,"Census Tract 120.23, Jefferson County, Colorado",Jefferson,2624,21,14.9,95% C.I.: 14.5 - 15.3,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
639,8059012048,"Census Tract 120.48, Jefferson County, Colorado",Jefferson,1861,21,16.5,95% C.I.: 16.1 - 16.9,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
640,8059009848,"Census Tract 98.48, Jefferson County, Colorado",Jefferson,2023,21,16,95% C.I.: 15.6 - 16.4,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
641,8059009845,"Census Tract 98.45, Jefferson County, Colorado",Jefferson,3311,21,15,95% C.I.: 14.6 - 15.3,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
642,8059009842,"Census Tract 98.42, Jefferson County, Colorado",Jefferson,2678,21,14.4,95% C.I.: 14.1 - 14.8,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
643,8059012042,"Census Tract 120.42, Jefferson County, Colorado",Jefferson,3156,21,14.2,95% C.I.: 13.8 - 14.6,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
644,8059012058,"Census Tract 120.58, Jefferson County, Colorado",Jefferson,3065,21,14,95% C.I.: 13.7 - 14.3,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
645,8059011720,"Census Tract 117.20, Jefferson County, Colorado",Jefferson,4042,21,15.4,95% C.I.: 14.9 - 15.9,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
646,8059012054,"Census Tract 120.54, Jefferson County, Colorado",Jefferson,3188,21,15,95% C.I.: 14.6 - 15.4,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
647,8059011803,"Census Tract 118.03, Jefferson County, Colorado",Jefferson,4333,21,15.4,95% C.I.: 14.8 - 16,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
648,8059011602,"Census Tract 116.02, Jefferson County, Colorado",Jefferson,3377,21,16.6,95% C.I.: 15.9 - 17.2,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
649,8059010603,"Census Tract 106.03, Jefferson County, Colorado",Jefferson,3067,21,14.5,95% C.I.: 14 - 14.9,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
650,8059012039,"Census Tract 120.39, Jefferson County, Colorado",Jefferson,4183,21,13.2,95% C.I.: 12.8 - 13.6,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
651,8059010100,"Census Tract 101, Jefferson County, Colorado",Jefferson,3782,21,12.3,95% C.I.: 12 - 12.7,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
652,8059012036,"Census Tract 120.36, Jefferson County, Colorado",Jefferson,2887,21,14.3,95% C.I.: 13.9 - 14.6,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
653,8059012051,"Census Tract 120.51, Jefferson County, Colorado",Jefferson,2720,21,15.4,95% C.I.: 15.1 - 15.8,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
654,8059012055,"Census Tract 120.55, Jefferson County, Colorado",Jefferson,2978,21,14.6,95% C.I.: 14.2 - 15,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
655,8059012052,"Census Tract 120.52, Jefferson County, Colorado",Jefferson,4118,21,13.1,95% C.I.: 12.8 - 13.4,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
656,8059012046,"Census Tract 120.46, Jefferson County, Colorado",Jefferson,1608,21,15.1,95% C.I.: 14.6 - 15.5,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
657,8059012024,"Census Tract 120.24, Jefferson County, Colorado",Jefferson,3886,21,14.7,95% C.I.: 14.4 - 15.1,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
658,8059012022,"Census Tract 120.22, Jefferson County, Colorado",Jefferson,4592,21,14.2,95% C.I.: 13.9 - 14.6,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
659,8059012045,"Census Tract 120.45, Jefferson County, Colorado",Jefferson,4540,21,13.5,95% C.I.: 13.1 - 13.8,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
660,8059011904,"Census Tract 119.04, Jefferson County, Colorado",Jefferson,1856,21,16.8,95% C.I.: 16.3 - 17.3,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
661,8059011728,"Census Tract 117.28, Jefferson County, Colorado",Jefferson,2271,21,16.5,95% C.I.: 16.1 - 17,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
662,8059011702,"Census Tract 117.02, Jefferson County, Colorado",Jefferson,4595,21,15.9,95% C.I.: 15.4 - 16.4,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
663,8059011701,"Census Tract 117.01, Jefferson County, Colorado",Jefferson,3842,21,15,95% C.I.: 14.6 - 15.4,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
664,8059012049,"Census Tract 120.49, Jefferson County, Colorado",Jefferson,3046,21,14.7,95% C.I.: 14.3 - 15.1,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
665,8059011730,"Census Tract 117.30, Jefferson County, Colorado",Jefferson,2724,21,14.1,95% C.I.: 13.6 - 14.6,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
666,8059011727,"Census Tract 117.27, Jefferson County, Colorado",Jefferson,2911,21,17.1,95% C.I.: 16.6 - 17.6,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
667,8059012053,"Census Tract 120.53, Jefferson County, Colorado",Jefferson,3119,21,14.5,95% C.I.: 14.1 - 14.8,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
668,8059011202,"Census Tract 112.02, Jefferson County, Colorado",Jefferson,4036,21,13.3,95% C.I.: 13 - 13.7,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
669,8059011804,"Census Tract 118.04, Jefferson County, Colorado",Jefferson,3658,21,15.5,95% C.I.: 15 - 16.1,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
670,8059011708,"Census Tract 117.08, Jefferson County, Colorado",Jefferson,3222,21,15.1,95% C.I.: 14.7 - 15.5,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
671,8059980000,"Census Tract 9800, Jefferson County, Colorado",Jefferson,0,21,,,"No Estimate, Population < 50",County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),"No Estimate, Population < 50",State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
672,8059011711,"Census Tract 117.11, Jefferson County, Colorado",Jefferson,3434,21,13.4,95% C.I.: 13 - 13.8,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
673,8059011951,"Census Tract 119.51, Jefferson County, Colorado",Jefferson,2680,21,15.9,95% C.I.: 15.5 - 16.4,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
674,8059012038,"Census Tract 120.38, Jefferson County, Colorado",Jefferson,2787,21,13.7,95% C.I.: 13.3 - 14.1,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
675,8059011725,"Census Tract 117.25, Jefferson County, Colorado",Jefferson,1405,21,14.5,95% C.I.: 14.1 - 14.9,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
676,8059011721,"Census Tract 117.21, Jefferson County, Colorado",Jefferson,2172,21,14.9,95% C.I.: 14.5 - 15.2,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
677,8059012034,"Census Tract 120.34, Jefferson County, Colorado",Jefferson,2911,21,15.1,95% C.I.: 14.8 - 15.5,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
678,8059011710,"Census Tract 117.10, Jefferson County, Colorado",Jefferson,3213,21,14.8,95% C.I.: 14.4 - 15.3,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
679,8059011709,"Census Tract 117.09, Jefferson County, Colorado",Jefferson,2939,21,14.3,95% C.I.: 13.9 - 14.8,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
680,8059011726,"Census Tract 117.26, Jefferson County, Colorado",Jefferson,5120,21,15,95% C.I.: 14.6 - 15.4,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
681,8059011601,"Census Tract 116.01, Jefferson County, Colorado",Jefferson,3020,21,16,95% C.I.: 15.5 - 16.6,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
682,8059011731,"Census Tract 117.31, Jefferson County, Colorado",Jefferson,3312,21,13.6,95% C.I.: 13.2 - 14,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
683,8059011550,"Census Tract 115.50, Jefferson County, Colorado",Jefferson,4850,21,15.2,95% C.I.: 14.6 - 15.7,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
684,8059011300,"Census Tract 113, Jefferson County, Colorado",Jefferson,2536,21,14,95% C.I.: 13.5 - 14.5,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
685,8059010702,"Census Tract 107.02, Jefferson County, Colorado",Jefferson,4537,21,14.4,95% C.I.: 13.9 - 15,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
686,8059010701,"Census Tract 107.01, Jefferson County, Colorado",Jefferson,3814,21,15.3,95% C.I.: 14.9 - 15.8,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
687,8059012043,"Census Tract 120.43, Jefferson County, Colorado",Jefferson,4358,21,13.9,95% C.I.: 13.5 - 14.3,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
688,8059010502,"Census Tract 105.02, Jefferson County, Colorado",Jefferson,4233,21,16,95% C.I.: 15.6 - 16.5,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
689,8059010604,"Census Tract 106.04, Jefferson County, Colorado",Jefferson,1864,21,14.7,95% C.I.: 14.2 - 15.1,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
690,8059011000,"Census Tract 110, Jefferson County, Colorado",Jefferson,4723,21,14.9,95% C.I.: 14.5 - 15.3,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
691,8059010902,"Census Tract 109.02, Jefferson County, Colorado",Jefferson,2133,21,13.9,95% C.I.: 13.4 - 14.5,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
692,8059010801,"Census Tract 108.01, Jefferson County, Colorado",Jefferson,2190,21,15,95% C.I.: 14.6 - 15.3,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
693,8059010504,"Census Tract 105.04, Jefferson County, Colorado",Jefferson,2282,21,15.9,95% C.I.: 15.6 - 16.3,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
694,8059010503,"Census Tract 105.03, Jefferson County, Colorado",Jefferson,3670,21,15.5,95% C.I.: 15.1 - 15.9,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
695,8059010403,"Census Tract 104.03, Jefferson County, Colorado",Jefferson,4070,21,13.8,95% C.I.: 13.4 - 14.2,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
696,8059012044,"Census Tract 120.44, Jefferson County, Colorado",Jefferson,3158,21,14,95% C.I.: 13.5 - 14.5,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
697,8059010308,"Census Tract 103.08, Jefferson County, Colorado",Jefferson,4641,21,14.4,95% C.I.: 14 - 14.8,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
698,8035014112,"Census Tract 141.12, Douglas County, Colorado",Douglas,3041,3,10.5,95% C.I.: 10 - 10.9,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 8.7 - 12.6),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
699,8035014110,"Census Tract 141.10, Douglas County, Colorado",Douglas,4210,3,9.4,95% C.I.: 9 - 9.9,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 8.7 - 12.6),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
700,8035014109,"Census Tract 141.09, Douglas County, Colorado",Douglas,2328,3,12.2,95% C.I.: 11.7 - 12.6,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 8.7 - 12.6),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
701,8035014108,"Census Tract 141.08, Douglas County, Colorado",Douglas,3567,3,10.6,95% C.I.: 10.2 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 8.7 - 12.6),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
702,8035014202,"Census Tract 142.02, Douglas County, Colorado",Douglas,1487,3,10.7,95% C.I.: 10.3 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 8.7 - 12.6),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
703,8035014116,"Census Tract 141.16, Douglas County, Colorado",Douglas,4737,3,9.7,95% C.I.: 9.2 - 10.3,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 8.7 - 12.6),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
