OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
1070,8041005300,"Census Tract 53, El Paso County, Colorado",El Paso,3411,4,19.9,95% C.I.: 19.2 - 20.6,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1071,8041005201,"Census Tract 52.01, El Paso County, Colorado",El Paso,3536,4,18.9,95% C.I.: 18.3 - 19.6,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1072,8041004800,"Census Tract 48, El Paso County, Colorado",El Paso,3630,4,18.2,95% C.I.: 17.7 - 18.6,Middle Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1073,8041002700,"Census Tract 27, El Paso County, Colorado",El Paso,2663,4,18.9,95% C.I.: 18.3 - 19.5,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1074,8041002501,"Census Tract 25.01, El Paso County, Colorado",El Paso,2759,4,17.7,95% C.I.: 17.3 - 18.1,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1075,8041002502,"Census Tract 25.02, El Paso County, Colorado",El Paso,3524,4,18.6,95% C.I.: 18.1 - 19.1,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1076,8041002400,"Census Tract 24, El Paso County, Colorado",El Paso,4533,4,18.6,95% C.I.: 18.2 - 19.1,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1077,8041002200,"Census Tract 22, El Paso County, Colorado",El Paso,2247,4,17.9,95% C.I.: 17.4 - 18.5,Middle Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1078,8041002102,"Census Tract 21.02, El Paso County, Colorado",El Paso,3446,4,19.5,95% C.I.: 18.9 - 20.2,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1079,8041003100,"Census Tract 31, El Paso County, Colorado",El Paso,3555,4,18.7,95% C.I.: 18.3 - 19.1,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1080,8041002101,"Census Tract 21.01, El Paso County, Colorado",El Paso,3178,4,19.5,95% C.I.: 18.9 - 20.1,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1081,8041001400,"Census Tract 14, El Paso County, Colorado",El Paso,2921,4,17.2,95% C.I.: 16.9 - 17.6,Lowest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1082,8041001302,"Census Tract 13.02, El Paso County, Colorado",El Paso,4414,4,17.4,95% C.I.: 17 - 17.8,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1083,8041001104,"Census Tract 11.04, El Paso County, Colorado",El Paso,2606,4,18.6,95% C.I.: 18.1 - 19.1,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
