OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
62,8097000402,"Census Tract 4.02, Pitkin County, Colorado",Pitkin,2527,12,1,95% C.I.: 0.8 - 3.7,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.1 - 2.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
63,8097000100,"Census Tract 1, Pitkin County, Colorado",Pitkin,6326,12,0.9,95% C.I.: 0.7 - 2.3,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.1 - 2.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
64,8117000402,"Census Tract 4.02, Summit County, Colorado",Summit,5673,12,1.4,95% C.I.: 1.2 - 2.3,Second Quintile,County/Regional Estimate 3.2% (95% C.I.: 0 - 6.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
65,8117000401,"Census Tract 4.01, Summit County, Colorado",Summit,3393,12,0.9,95% C.I.: 0.7 - 2,Lowest Quintile,County/Regional Estimate 3.2% (95% C.I.: 0 - 6.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
66,8117000100,"Census Tract 1, Summit County, Colorado",Summit,6816,12,4.8,95% C.I.: 4.4 - 6.5,Highest Quintile,County/Regional Estimate 3.2% (95% C.I.: 0 - 6.4),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
67,8117000200,"Census Tract 2, Summit County, Colorado",Summit,5528,12,1.2,95% C.I.: 1 - 3.2,Lowest Quintile,County/Regional Estimate 3.2% (95% C.I.: 0 - 6.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
68,8117000300,"Census Tract 3, Summit County, Colorado",Summit,3511,12,2.2,95% C.I.: 1.9 - 3.5,Middle Quintile,County/Regional Estimate 3.2% (95% C.I.: 0 - 6.4),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
69,8067971100,"Census Tract 9711, La Plata County, Colorado",La Plata,3784,9,1.4,95% C.I.: 1.2 - 3,Lowest Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
70,8067971000,"Census Tract 9710, La Plata County, Colorado",La Plata,2322,9,1.8,95% C.I.: 1.5 - 2.7,Lowest Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
71,8067970900,"Census Tract 9709, La Plata County, Colorado",La Plata,3409,9,2,95% C.I.: 1.7 - 3.1,Lowest Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
72,8067970800,"Census Tract 9708, La Plata County, Colorado",La Plata,6155,9,1.3,95% C.I.: 1.1 - 2,Lowest Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
73,8067940400,"Census Tract 9404, La Plata County, Colorado",La Plata,4511,9,2.2,95% C.I.: 1.9 - 3.3,Second Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
