OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysHealth_Census_Tract_Estimate,PhysHealth_Estimate_Confidence_Interval,PhysHealth_Map_Symbol_withinHSR,PhysHealth_County_Regional_Estimate,PhysHealth_Map_Symbol_State,PhysHealth_State_Estimate
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,3065,10,9.4,95% C.I.: 8.2 - 11.2,Second Quintile,County/Regional Estimate 8.7% (95% C.I.: 4.1 - 13.2),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,3774,10,9.9,95% C.I.: 8.6 - 11.6,Second Quintile,County/Regional Estimate 8.7% (95% C.I.: 4.1 - 13.2),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
30,8021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,3029,8,15.3,95% C.I.: 12.7 - 19.7,Fourth Quintile,County/Regional Estimate 15.3% (95% C.I.: 8.3 - 22.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
31,8021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,2876,8,14.9,95% C.I.: 12.1 - 19.5,Fourth Quintile,County/Regional Estimate 15.3% (95% C.I.: 8.3 - 22.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,2394,12,5.5,95% C.I.: 4.9 - 6.7,Second Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,4847,12,5.4,95% C.I.: 4.8 - 6.7,Second Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,1428,12,4.2,95% C.I.: 3.6 - 5.6,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,3591,12,5.2,95% C.I.: 4.6 - 6.9,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,590,12,3.8,95% C.I.: 3.3 - 4.7,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,3371,12,3.7,95% C.I.: 3.3 - 5.1,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,1834,12,6.1,95% C.I.: 5.4 - 7.4,Middle Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
