OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Fluvax_Census_Tract_Estimate,Fluvax_Estimate_Confidence_Interval,Fluvax_Map_Symbol_withinHSR,Fluvax_County_Regional_Estimate,Fluvax_Map_Symbol_State,Fluvax_State_Estimate
1028,8041004502,"Census Tract 45.02, El Paso County, Colorado",El Paso,4357,4,43,95% C.I.: 42.4 - 43.7,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1029,8041001900,"Census Tract 19, El Paso County, Colorado",El Paso,3580,4,45.5,95% C.I.: 44.8 - 46.2,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1030,8041001800,"Census Tract 18, El Paso County, Colorado",El Paso,1683,4,44.9,95% C.I.: 44.4 - 45.4,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1031,8041001700,"Census Tract 17, El Paso County, Colorado",El Paso,1643,4,42.4,95% C.I.: 41.8 - 43,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1032,8041001600,"Census Tract 16, El Paso County, Colorado",El Paso,3363,4,38.9,95% C.I.: 38.4 - 39.4,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1033,8041001500,"Census Tract 15, El Paso County, Colorado",El Paso,1746,4,44.7,95% C.I.: 44.1 - 45.3,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1034,8041003906,"Census Tract 39.06, El Paso County, Colorado",El Paso,4905,4,46.1,95% C.I.: 45.6 - 46.6,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1035,8041001101,"Census Tract 11.01, El Paso County, Colorado",El Paso,1274,4,44.3,95% C.I.: 43.6 - 44.9,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1036,8041001000,"Census Tract 10, El Paso County, Colorado",El Paso,1912,4,46.1,95% C.I.: 45.6 - 46.6,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1037,8041000900,"Census Tract 9, El Paso County, Colorado",El Paso,1871,4,45.7,95% C.I.: 45.3 - 46.2,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1038,8041005109,"Census Tract 51.09, El Paso County, Colorado",El Paso,5637,4,44.9,95% C.I.: 44.3 - 45.5,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1039,8041005105,"Census Tract 51.05, El Paso County, Colorado",El Paso,5267,4,40.8,95% C.I.: 40.2 - 41.4,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1040,8041005107,"Census Tract 51.07, El Paso County, Colorado",El Paso,6209,4,41.5,95% C.I.: 40.9 - 42.1,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1041,8041007102,"Census Tract 71.02, El Paso County, Colorado",El Paso,6479,4,43.7,95% C.I.: 43.2 - 44.2,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1042,8041004705,"Census Tract 47.05, El Paso County, Colorado",El Paso,5983,4,41.7,95% C.I.: 41.1 - 42.4,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1043,8041005106,"Census Tract 51.06, El Paso County, Colorado",El Paso,7151,4,42.7,95% C.I.: 42.2 - 43.3,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1044,8041004706,"Census Tract 47.06, El Paso County, Colorado",El Paso,3771,4,43.1,95% C.I.: 42.6 - 43.7,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1045,8041006902,"Census Tract 69.02, El Paso County, Colorado",El Paso,3611,4,42.2,95% C.I.: 41.6 - 42.7,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1046,8041004603,"Census Tract 46.03, El Paso County, Colorado",El Paso,4673,4,41,95% C.I.: 40.4 - 41.6,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1047,8041004510,"Census Tract 45.10, El Paso County, Colorado",El Paso,6546,4,40,95% C.I.: 39.3 - 40.6,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1048,8041005108,"Census Tract 51.08, El Paso County, Colorado",El Paso,6615,4,43,95% C.I.: 42.3 - 43.6,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1049,8041003308,"Census Tract 33.08, El Paso County, Colorado",El Paso,4389,4,40.3,95% C.I.: 39.7 - 41,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1050,8041003305,"Census Tract 33.05, El Paso County, Colorado",El Paso,5408,4,47.4,95% C.I.: 46.9 - 47.9,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1051,8041004401,"Census Tract 44.01, El Paso County, Colorado",El Paso,4947,4,37.9,95% C.I.: 37.3 - 38.5,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1052,8041004403,"Census Tract 44.03, El Paso County, Colorado",El Paso,776,4,36.9,95% C.I.: 36.2 - 37.6,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1053,8041004402,"Census Tract 44.02, El Paso County, Colorado",El Paso,5526,4,36.3,95% C.I.: 35.6 - 37,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1054,8041003306,"Census Tract 33.06, El Paso County, Colorado",El Paso,2530,4,44.8,95% C.I.: 44.4 - 45.3,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1055,8041005104,"Census Tract 51.04, El Paso County, Colorado",El Paso,6364,4,44.2,95% C.I.: 43.7 - 44.8,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1056,8041005502,"Census Tract 55.02, El Paso County, Colorado",El Paso,3448,4,41.7,95% C.I.: 41.1 - 42.3,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1057,8041004702,"Census Tract 47.02, El Paso County, Colorado",El Paso,1741,4,42.3,95% C.I.: 41.8 - 42.9,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1058,8041000101,"Census Tract 1.01, El Paso County, Colorado",El Paso,5203,4,45.7,95% C.I.: 45 - 46.3,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1059,8041008000,"Census Tract 80, El Paso County, Colorado",El Paso,3423,4,43.2,95% C.I.: 42.6 - 43.7,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1060,8041003709,"Census Tract 37.09, El Paso County, Colorado",El Paso,5297,4,44.2,95% C.I.: 43.7 - 44.7,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1061,8041007400,"Census Tract 74, El Paso County, Colorado",El Paso,6755,4,46.7,95% C.I.: 46.2 - 47.1,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1062,8041003707,"Census Tract 37.07, El Paso County, Colorado",El Paso,3013,4,45.1,95% C.I.: 44.6 - 45.7,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1063,8041003708,"Census Tract 37.08, El Paso County, Colorado",El Paso,2151,4,46.3,95% C.I.: 45.7 - 46.9,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1064,8041006502,"Census Tract 65.02, El Paso County, Colorado",El Paso,4840,4,40.1,95% C.I.: 39.2 - 40.9,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1065,8041006600,"Census Tract 66, El Paso County, Colorado",El Paso,2070,4,48.1,95% C.I.: 47.6 - 48.6,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1066,8041006501,"Census Tract 65.01, El Paso County, Colorado",El Paso,2618,4,41,95% C.I.: 40.2 - 41.9,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1067,8041006400,"Census Tract 64, El Paso County, Colorado",El Paso,5247,4,39.5,95% C.I.: 38.7 - 40.3,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1068,8041005601,"Census Tract 56.01, El Paso County, Colorado",El Paso,3913,4,45.4,95% C.I.: 44.8 - 46,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1069,8041005400,"Census Tract 54, El Paso County, Colorado",El Paso,3932,4,40.5,95% C.I.: 39.6 - 41.3,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1070,8041005300,"Census Tract 53, El Paso County, Colorado",El Paso,3411,4,41.6,95% C.I.: 40.8 - 42.5,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1071,8041005201,"Census Tract 52.01, El Paso County, Colorado",El Paso,3536,4,40,95% C.I.: 39.1 - 40.9,Highest Qunitile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1072,8041004800,"Census Tract 48, El Paso County, Colorado",El Paso,3630,4,45.1,95% C.I.: 44.5 - 45.7,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1073,8041002700,"Census Tract 27, El Paso County, Colorado",El Paso,2663,4,44.9,95% C.I.: 44.1 - 45.6,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1074,8041002501,"Census Tract 25.01, El Paso County, Colorado",El Paso,2759,4,48.3,95% C.I.: 47.8 - 48.8,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1075,8041002502,"Census Tract 25.02, El Paso County, Colorado",El Paso,3524,4,45.3,95% C.I.: 44.7 - 46,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1076,8041002400,"Census Tract 24, El Paso County, Colorado",El Paso,4533,4,48,95% C.I.: 47.5 - 48.6,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1077,8041002200,"Census Tract 22, El Paso County, Colorado",El Paso,2247,4,44.3,95% C.I.: 43.6 - 45,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1078,8041002102,"Census Tract 21.02, El Paso County, Colorado",El Paso,3446,4,42.8,95% C.I.: 42 - 43.5,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1079,8041003100,"Census Tract 31, El Paso County, Colorado",El Paso,3555,4,51.6,95% C.I.: 51.1 - 52.1,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1080,8041002101,"Census Tract 21.01, El Paso County, Colorado",El Paso,3178,4,45.1,95% C.I.: 44.4 - 45.8,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1081,8041001400,"Census Tract 14, El Paso County, Colorado",El Paso,2921,4,44.8,95% C.I.: 44.3 - 45.3,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1082,8041001302,"Census Tract 13.02, El Paso County, Colorado",El Paso,4414,4,45,95% C.I.: 44.5 - 45.6,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1083,8041001104,"Census Tract 11.04, El Paso County, Colorado",El Paso,2606,4,44.4,95% C.I.: 43.8 - 45.1,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1084,8041000800,"Census Tract 8, El Paso County, Colorado",El Paso,2404,4,46.2,95% C.I.: 45.7 - 46.8,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1085,8041000700,"Census Tract 7, El Paso County, Colorado",El Paso,2585,4,46.5,95% C.I.: 45.7 - 47.2,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1086,8041000600,"Census Tract 6, El Paso County, Colorado",El Paso,2544,4,46.1,95% C.I.: 45.5 - 46.6,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1087,8041000500,"Census Tract 5, El Paso County, Colorado",El Paso,1937,4,45,95% C.I.: 44.4 - 45.5,Second Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1088,8041000400,"Census Tract 4, El Paso County, Colorado",El Paso,1831,4,49.3,95% C.I.: 48.8 - 49.9,Lowest Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1089,8041007800,"Census Tract 78, El Paso County, Colorado",El Paso,4374,4,43.7,95% C.I.: 43.1 - 44.3,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1090,8041000302,"Census Tract 3.02, El Paso County, Colorado",El Paso,4248,4,43.5,95% C.I.: 42.9 - 44.2,Fourth Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1091,8041007700,"Census Tract 77, El Paso County, Colorado",El Paso,4871,4,44.7,95% C.I.: 44.1 - 45.3,Middle Quintile,County/Regional Estimate 44% (95% C.I.: 42.1 - 45.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1092,8005083500,"Census Tract 835, Arapahoe County, Colorado",Arapahoe,4471,15,44.7,95% C.I.: 43.9 - 45.4,Fourth Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1093,8005082800,"Census Tract 828, Arapahoe County, Colorado",Arapahoe,3859,15,45.3,95% C.I.: 44.5 - 46,Middle Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1094,8005082400,"Census Tract 824, Arapahoe County, Colorado",Arapahoe,3299,15,44.9,95% C.I.: 44.1 - 45.6,Middle Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1095,8005005630,"Census Tract 56.30, Arapahoe County, Colorado",Arapahoe,4485,15,46.8,95% C.I.: 46.3 - 47.3,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1096,8005005631,"Census Tract 56.31, Arapahoe County, Colorado",Arapahoe,2739,15,48.5,95% C.I.: 47.9 - 49,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1097,8005005628,"Census Tract 56.28, Arapahoe County, Colorado",Arapahoe,4653,15,47.6,95% C.I.: 47.1 - 48.1,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1098,8005005632,"Census Tract 56.32, Arapahoe County, Colorado",Arapahoe,2524,15,46.7,95% C.I.: 46.1 - 47.2,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1099,8005005629,"Census Tract 56.29, Arapahoe County, Colorado",Arapahoe,1923,15,48.1,95% C.I.: 47.6 - 48.6,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1100,8005084400,"Census Tract 844, Arapahoe County, Colorado",Arapahoe,2294,15,43.4,95% C.I.: 42.7 - 44.1,Highest Qunitile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1101,8055960900,"Census Tract 9609, Huerfano County, Colorado",Huerfano,2882,6,35.2,95% C.I.: 31.8 - 38.7,Highest Qunitile,County/Regional Estimate 34.6% (95% C.I.: 23.6 - 45.6),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1102,8055960600,"Census Tract 9606, Huerfano County, Colorado",Huerfano,2580,6,39.9,95% C.I.: 35.6 - 44.4,Fourth Quintile,County/Regional Estimate 34.6% (95% C.I.: 23.6 - 45.6),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1103,8005005624,"Census Tract 56.24, Arapahoe County, Colorado",Arapahoe,2024,15,47,95% C.I.: 46.5 - 47.6,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1104,8005005627,"Census Tract 56.27, Arapahoe County, Colorado",Arapahoe,3558,15,49,95% C.I.: 48.5 - 49.5,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1105,8005005614,"Census Tract 56.14, Arapahoe County, Colorado",Arapahoe,2604,15,47.9,95% C.I.: 47.3 - 48.4,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1106,8005006707,"Census Tract 67.07, Arapahoe County, Colorado",Arapahoe,3888,15,46,95% C.I.: 45.5 - 46.5,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1107,8005006708,"Census Tract 67.08, Arapahoe County, Colorado",Arapahoe,3912,15,47.4,95% C.I.: 46.9 - 47.9,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1108,8005006604,"Census Tract 66.04, Arapahoe County, Colorado",Arapahoe,3636,15,45.2,95% C.I.: 44.6 - 45.8,Middle Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1109,8005006603,"Census Tract 66.03, Arapahoe County, Colorado",Arapahoe,2733,15,48.5,95% C.I.: 47.9 - 49,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1110,8005006705,"Census Tract 67.05, Arapahoe County, Colorado",Arapahoe,1401,15,47.4,95% C.I.: 47 - 47.9,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1111,8005006601,"Census Tract 66.01, Arapahoe County, Colorado",Arapahoe,4604,15,43.6,95% C.I.: 43 - 44.3,Fourth Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1112,8005005621,"Census Tract 56.21, Arapahoe County, Colorado",Arapahoe,2424,15,50.2,95% C.I.: 49.7 - 50.8,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1113,8005005625,"Census Tract 56.25, Arapahoe County, Colorado",Arapahoe,2488,15,46.5,95% C.I.: 46 - 47.1,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1114,8005006704,"Census Tract 67.04, Arapahoe County, Colorado",Arapahoe,3128,15,50,95% C.I.: 49.4 - 50.5,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1115,8005005620,"Census Tract 56.20, Arapahoe County, Colorado",Arapahoe,2580,15,48.1,95% C.I.: 47.5 - 48.7,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1116,8005006709,"Census Tract 67.09, Arapahoe County, Colorado",Arapahoe,4114,15,48.4,95% C.I.: 47.8 - 48.9,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1117,8005005619,"Census Tract 56.19, Arapahoe County, Colorado",Arapahoe,3789,15,46.8,95% C.I.: 46.2 - 47.4,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1118,8005005633,"Census Tract 56.33, Arapahoe County, Colorado",Arapahoe,2489,15,48.2,95% C.I.: 47.7 - 48.7,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1119,8005081700,"Census Tract 817, Arapahoe County, Colorado",Arapahoe,2220,15,46.1,95% C.I.: 45.5 - 46.6,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1120,8005015100,"Census Tract 151, Arapahoe County, Colorado",Arapahoe,2179,15,48.6,95% C.I.: 48.1 - 49.1,Lowest Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1121,8005083900,"Census Tract 839, Arapahoe County, Colorado",Arapahoe,2387,15,47.4,95% C.I.: 46.8 - 48,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1122,8005082900,"Census Tract 829, Arapahoe County, Colorado",Arapahoe,3528,15,43.5,95% C.I.: 42.7 - 44.3,Fourth Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1123,8005087300,"Census Tract 873, Arapahoe County, Colorado",Arapahoe,5983,15,43.3,95% C.I.: 42.6 - 44.1,Highest Qunitile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1124,8005086900,"Census Tract 869, Arapahoe County, Colorado",Arapahoe,2379,15,42.3,95% C.I.: 41.5 - 43,Highest Qunitile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
1125,8005087100,"Census Tract 871, Arapahoe County, Colorado",Arapahoe,2094,15,46.2,95% C.I.: 45.4 - 46.9,Second Quintile,County/Regional Estimate 45.3% (95% C.I.: 43.1 - 47.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
