OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Fluvax_Census_Tract_Estimate,Fluvax_Estimate_Confidence_Interval,Fluvax_Map_Symbol_withinHSR,Fluvax_County_Regional_Estimate,Fluvax_Map_Symbol_State,Fluvax_State_Estimate
417,8013061400,"Census Tract 614, Boulder County, Colorado",Boulder,2556,16,41.6,95% C.I.: 40.8 - 42.5,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
418,8013012607,"Census Tract 126.07, Boulder County, Colorado",Boulder,5238,16,38.7,95% C.I.: 37.7 - 39.6,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
419,8013013508,"Census Tract 135.08, Boulder County, Colorado",Boulder,5552,16,43.5,95% C.I.: 42.8 - 44.3,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
420,8013013506,"Census Tract 135.06, Boulder County, Colorado",Boulder,3357,16,45.7,95% C.I.: 45 - 46.5,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
421,8013013213,"Census Tract 132.13, Boulder County, Colorado",Boulder,5929,16,43.1,95% C.I.: 42.4 - 43.8,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
422,8013012608,"Census Tract 126.08, Boulder County, Colorado",Boulder,2203,16,40.9,95% C.I.: 40.2 - 41.6,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
423,8013060600,"Census Tract 606, Boulder County, Colorado",Boulder,4738,16,42.5,95% C.I.: 41.6 - 43.4,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
424,8013060700,"Census Tract 607, Boulder County, Colorado",Boulder,2479,16,46.3,95% C.I.: 45.7 - 47,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
425,8013013005,"Census Tract 130.05, Boulder County, Colorado",Boulder,2606,16,44.3,95% C.I.: 43.7 - 44.9,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
426,8013012508,"Census Tract 125.08, Boulder County, Colorado",Boulder,2856,16,38.9,95% C.I.: 38.3 - 39.6,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
427,8013012605,"Census Tract 126.05, Boulder County, Colorado",Boulder,1595,16,36.7,95% C.I.: 36 - 37.5,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
428,8013013004,"Census Tract 130.04, Boulder County, Colorado",Boulder,2608,16,43.3,95% C.I.: 42.7 - 44,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
429,8013012401,"Census Tract 124.01, Boulder County, Colorado",Boulder,5926,16,34.6,95% C.I.: 33.8 - 35.4,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
430,8013012300,"Census Tract 123, Boulder County, Colorado",Boulder,6788,16,35.5,95% C.I.: 34.7 - 36.4,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
431,8013012202,"Census Tract 122.02, Boulder County, Colorado",Boulder,5784,16,36.9,95% C.I.: 36.1 - 37.9,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
432,8013012102,"Census Tract 121.02, Boulder County, Colorado",Boulder,6008,16,42.1,95% C.I.: 41.4 - 42.8,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
