OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
260,8001008604,"Census Tract 86.04, Adams County, Colorado",Adams,4190,14,43.4,95% C.I.: 42.7 - 44.1,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
261,8001008605,"Census Tract 86.05, Adams County, Colorado",Adams,3053,14,37.6,95% C.I.: 37 - 38.3,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
262,8001009553,"Census Tract 95.53, Adams County, Colorado",Adams,2565,14,41.4,95% C.I.: 40.6 - 42.2,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
263,8001008706,"Census Tract 87.06, Adams County, Colorado",Adams,3671,14,40.7,95% C.I.: 40 - 41.5,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
264,8001009101,"Census Tract 91.01, Adams County, Colorado",Adams,3549,14,40,95% C.I.: 39.3 - 40.7,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
265,8001009002,"Census Tract 90.02, Adams County, Colorado",Adams,6635,14,41,95% C.I.: 40.3 - 41.8,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
266,8069002007,"Census Tract 20.07, Larimer County, Colorado",Larimer,2897,2,35.4,95% C.I.: 34.8 - 35.9,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
267,8069002005,"Census Tract 20.05, Larimer County, Colorado",Larimer,4001,2,37.7,95% C.I.: 37.1 - 38.4,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
268,8069002008,"Census Tract 20.08, Larimer County, Colorado",Larimer,3401,2,34.9,95% C.I.: 34.2 - 35.7,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
269,8069001903,"Census Tract 19.03, Larimer County, Colorado",Larimer,2961,2,34.8,95% C.I.: 34.3 - 35.3,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
270,8069001804,"Census Tract 18.04, Larimer County, Colorado",Larimer,3083,2,36.3,95% C.I.: 35.8 - 36.9,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
271,8069001901,"Census Tract 19.01, Larimer County, Colorado",Larimer,3293,2,35.9,95% C.I.: 35.2 - 36.5,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
272,8069001807,"Census Tract 18.07, Larimer County, Colorado",Larimer,4805,2,34.8,95% C.I.: 34.2 - 35.3,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
273,8001009308,"Census Tract 93.08, Adams County, Colorado",Adams,3376,14,40.9,95% C.I.: 40.2 - 41.6,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
274,8001009001,"Census Tract 90.01, Adams County, Colorado",Adams,3410,14,41.2,95% C.I.: 40.5 - 42,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
275,8001009306,"Census Tract 93.06, Adams County, Colorado",Adams,2816,14,40.3,95% C.I.: 39.6 - 40.9,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
276,8001009318,"Census Tract 93.18, Adams County, Colorado",Adams,4510,14,42.6,95% C.I.: 41.8 - 43.3,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
277,8001008705,"Census Tract 87.05, Adams County, Colorado",Adams,3694,14,38.8,95% C.I.: 38.1 - 39.6,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
278,8001008533,"Census Tract 85.33, Adams County, Colorado",Adams,5834,14,42.3,95% C.I.: 41.6 - 42.9,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
279,8001009204,"Census Tract 92.04, Adams County, Colorado",Adams,5728,14,43.5,95% C.I.: 42.8 - 44.2,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
280,8001008507,"Census Tract 85.07, Adams County, Colorado",Adams,4960,14,40.4,95% C.I.: 39.7 - 41.1,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
281,8069001707,"Census Tract 17.07, Larimer County, Colorado",Larimer,4432,2,38.2,95% C.I.: 37.5 - 38.9,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
282,8069001806,"Census Tract 18.06, Larimer County, Colorado",Larimer,6402,2,34.7,95% C.I.: 34 - 35.4,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
283,8069001704,"Census Tract 17.04, Larimer County, Colorado",Larimer,7252,2,37.3,95% C.I.: 36.6 - 38,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
284,8069001706,"Census Tract 17.06, Larimer County, Colorado",Larimer,5316,2,35.1,95% C.I.: 34.5 - 35.7,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
