OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
630,8059012026,"Census Tract 120.26, Jefferson County, Colorado",Jefferson,2715,21,35.8,95% C.I.: 35.4 - 36.3,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
631,8059012035,"Census Tract 120.35, Jefferson County, Colorado",Jefferson,3808,21,36.5,95% C.I.: 36.1 - 36.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
632,8059012037,"Census Tract 120.37, Jefferson County, Colorado",Jefferson,2956,21,37.2,95% C.I.: 36.8 - 37.6,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
633,8059012031,"Census Tract 120.31, Jefferson County, Colorado",Jefferson,3394,21,38.6,95% C.I.: 38.1 - 39,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
634,8059012030,"Census Tract 120.30, Jefferson County, Colorado",Jefferson,3155,21,36.4,95% C.I.: 36 - 36.8,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
635,8059009900,"Census Tract 99, Jefferson County, Colorado",Jefferson,2085,21,39.4,95% C.I.: 38.9 - 40,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
636,8059009846,"Census Tract 98.46, Jefferson County, Colorado",Jefferson,3407,21,33,95% C.I.: 32.6 - 33.4,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
637,8059009847,"Census Tract 98.47, Jefferson County, Colorado",Jefferson,2376,21,35.1,95% C.I.: 34.7 - 35.5,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
638,8059012023,"Census Tract 120.23, Jefferson County, Colorado",Jefferson,2624,21,36.7,95% C.I.: 36.2 - 37.2,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
639,8059012048,"Census Tract 120.48, Jefferson County, Colorado",Jefferson,1861,21,32.2,95% C.I.: 31.8 - 32.7,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
640,8059009848,"Census Tract 98.48, Jefferson County, Colorado",Jefferson,2023,21,32.4,95% C.I.: 32 - 32.8,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
641,8059009845,"Census Tract 98.45, Jefferson County, Colorado",Jefferson,3311,21,33.6,95% C.I.: 33.2 - 34,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
642,8059009842,"Census Tract 98.42, Jefferson County, Colorado",Jefferson,2678,21,36.5,95% C.I.: 36 - 36.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
643,8059012042,"Census Tract 120.42, Jefferson County, Colorado",Jefferson,3156,21,37.9,95% C.I.: 37.4 - 38.4,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
644,8059012058,"Census Tract 120.58, Jefferson County, Colorado",Jefferson,3065,21,35.5,95% C.I.: 35.2 - 35.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
645,8059011720,"Census Tract 117.20, Jefferson County, Colorado",Jefferson,4042,21,35.9,95% C.I.: 35.4 - 36.4,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
646,8059012054,"Census Tract 120.54, Jefferson County, Colorado",Jefferson,3188,21,36.5,95% C.I.: 36 - 37,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
647,8059011803,"Census Tract 118.03, Jefferson County, Colorado",Jefferson,4333,21,41.2,95% C.I.: 40.5 - 42,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
648,8059011602,"Census Tract 116.02, Jefferson County, Colorado",Jefferson,3377,21,41,95% C.I.: 40.2 - 41.8,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
649,8059010603,"Census Tract 106.03, Jefferson County, Colorado",Jefferson,3067,21,39.1,95% C.I.: 38.5 - 39.7,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
650,8059012039,"Census Tract 120.39, Jefferson County, Colorado",Jefferson,4183,21,39.6,95% C.I.: 39.1 - 40.1,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
651,8059010100,"Census Tract 101, Jefferson County, Colorado",Jefferson,3782,21,40.9,95% C.I.: 40.4 - 41.4,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
652,8059012036,"Census Tract 120.36, Jefferson County, Colorado",Jefferson,2887,21,36.2,95% C.I.: 35.8 - 36.6,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
653,8059012051,"Census Tract 120.51, Jefferson County, Colorado",Jefferson,2720,21,34,95% C.I.: 33.6 - 34.4,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
654,8059012055,"Census Tract 120.55, Jefferson County, Colorado",Jefferson,2978,21,36.4,95% C.I.: 35.9 - 36.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
655,8059012052,"Census Tract 120.52, Jefferson County, Colorado",Jefferson,4118,21,38.2,95% C.I.: 37.8 - 38.7,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
656,8059012046,"Census Tract 120.46, Jefferson County, Colorado",Jefferson,1608,21,37.2,95% C.I.: 36.7 - 37.7,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
657,8059012024,"Census Tract 120.24, Jefferson County, Colorado",Jefferson,3886,21,35.5,95% C.I.: 35 - 35.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
658,8059012022,"Census Tract 120.22, Jefferson County, Colorado",Jefferson,4592,21,37.2,95% C.I.: 36.8 - 37.7,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
659,8059012045,"Census Tract 120.45, Jefferson County, Colorado",Jefferson,4540,21,37.8,95% C.I.: 37.4 - 38.3,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
660,8059011904,"Census Tract 119.04, Jefferson County, Colorado",Jefferson,1856,21,35.6,95% C.I.: 35 - 36.2,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
661,8059011728,"Census Tract 117.28, Jefferson County, Colorado",Jefferson,2271,21,34.4,95% C.I.: 33.9 - 35,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
662,8059011702,"Census Tract 117.02, Jefferson County, Colorado",Jefferson,4595,21,34.8,95% C.I.: 34.2 - 35.4,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
663,8059011701,"Census Tract 117.01, Jefferson County, Colorado",Jefferson,3842,21,35.6,95% C.I.: 35.1 - 36.1,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
664,8059012049,"Census Tract 120.49, Jefferson County, Colorado",Jefferson,3046,21,36.5,95% C.I.: 36 - 37,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
665,8059011730,"Census Tract 117.30, Jefferson County, Colorado",Jefferson,2724,21,39.5,95% C.I.: 38.8 - 40.2,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
666,8059011727,"Census Tract 117.27, Jefferson County, Colorado",Jefferson,2911,21,33.4,95% C.I.: 32.8 - 33.9,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
667,8059012053,"Census Tract 120.53, Jefferson County, Colorado",Jefferson,3119,21,36.5,95% C.I.: 36 - 36.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
668,8059011202,"Census Tract 112.02, Jefferson County, Colorado",Jefferson,4036,21,38.7,95% C.I.: 38.2 - 39.3,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
669,8059011804,"Census Tract 118.04, Jefferson County, Colorado",Jefferson,3658,21,38.4,95% C.I.: 37.7 - 39.1,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
670,8059011708,"Census Tract 117.08, Jefferson County, Colorado",Jefferson,3222,21,36.1,95% C.I.: 35.6 - 36.6,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
671,8059980000,"Census Tract 9800, Jefferson County, Colorado",Jefferson,0,21,,,"No Estimate, Population < 50",County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),"No Estimate, Population < 50",State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
672,8059011711,"Census Tract 117.11, Jefferson County, Colorado",Jefferson,3434,21,37.5,95% C.I.: 37.1 - 38,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
673,8059011951,"Census Tract 119.51, Jefferson County, Colorado",Jefferson,2680,21,37,95% C.I.: 36.4 - 37.6,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
674,8059012038,"Census Tract 120.38, Jefferson County, Colorado",Jefferson,2787,21,38.6,95% C.I.: 38.1 - 39.2,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
675,8059011725,"Census Tract 117.25, Jefferson County, Colorado",Jefferson,1405,21,36.4,95% C.I.: 35.9 - 36.9,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
676,8059011721,"Census Tract 117.21, Jefferson County, Colorado",Jefferson,2172,21,35.4,95% C.I.: 34.9 - 35.8,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
677,8059012034,"Census Tract 120.34, Jefferson County, Colorado",Jefferson,2911,21,34.7,95% C.I.: 34.3 - 35.2,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
678,8059011710,"Census Tract 117.10, Jefferson County, Colorado",Jefferson,3213,21,37.7,95% C.I.: 37.1 - 38.2,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
679,8059011709,"Census Tract 117.09, Jefferson County, Colorado",Jefferson,2939,21,38.8,95% C.I.: 38.2 - 39.3,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
680,8059011726,"Census Tract 117.26, Jefferson County, Colorado",Jefferson,5120,21,35.8,95% C.I.: 35.3 - 36.3,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
681,8059011601,"Census Tract 116.01, Jefferson County, Colorado",Jefferson,3020,21,40,95% C.I.: 39.3 - 40.7,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
682,8059011731,"Census Tract 117.31, Jefferson County, Colorado",Jefferson,3312,21,38.9,95% C.I.: 38.3 - 39.4,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
683,8059011550,"Census Tract 115.50, Jefferson County, Colorado",Jefferson,4850,21,40.6,95% C.I.: 39.9 - 41.3,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
684,8059011300,"Census Tract 113, Jefferson County, Colorado",Jefferson,2536,21,39.8,95% C.I.: 39.3 - 40.4,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
685,8059010702,"Census Tract 107.02, Jefferson County, Colorado",Jefferson,4537,21,41.7,95% C.I.: 41 - 42.4,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
686,8059010701,"Census Tract 107.01, Jefferson County, Colorado",Jefferson,3814,21,35.7,95% C.I.: 35.2 - 36.2,Second Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
687,8059012043,"Census Tract 120.43, Jefferson County, Colorado",Jefferson,4358,21,38,95% C.I.: 37.5 - 38.5,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
688,8059010502,"Census Tract 105.02, Jefferson County, Colorado",Jefferson,4233,21,34.9,95% C.I.: 34.4 - 35.5,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
689,8059010604,"Census Tract 106.04, Jefferson County, Colorado",Jefferson,1864,21,39.1,95% C.I.: 38.5 - 39.6,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
690,8059011000,"Census Tract 110, Jefferson County, Colorado",Jefferson,4723,21,38.5,95% C.I.: 37.9 - 39,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
691,8059010902,"Census Tract 109.02, Jefferson County, Colorado",Jefferson,2133,21,39.7,95% C.I.: 39.1 - 40.4,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
692,8059010801,"Census Tract 108.01, Jefferson County, Colorado",Jefferson,2190,21,34.8,95% C.I.: 34.4 - 35.3,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
693,8059010504,"Census Tract 105.04, Jefferson County, Colorado",Jefferson,2282,21,32.8,95% C.I.: 32.4 - 33.3,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
694,8059010503,"Census Tract 105.03, Jefferson County, Colorado",Jefferson,3670,21,33.7,95% C.I.: 33.2 - 34.2,Lowest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
695,8059010403,"Census Tract 104.03, Jefferson County, Colorado",Jefferson,4070,21,40.2,95% C.I.: 39.6 - 40.7,Highest Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
696,8059012044,"Census Tract 120.44, Jefferson County, Colorado",Jefferson,3158,21,38,95% C.I.: 37.4 - 38.6,Fourth Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
697,8059010308,"Census Tract 103.08, Jefferson County, Colorado",Jefferson,4641,21,37.5,95% C.I.: 36.9 - 38,Middle Quintile,County/Regional Estimate 36.8% (95% C.I.: 34.7 - 38.8),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
698,8035014112,"Census Tract 141.12, Douglas County, Colorado",Douglas,3041,3,29.6,95% C.I.: 29 - 30.3,Second Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
699,8035014110,"Census Tract 141.10, Douglas County, Colorado",Douglas,4210,3,31.6,95% C.I.: 30.9 - 32.4,Highest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
700,8035014109,"Census Tract 141.09, Douglas County, Colorado",Douglas,2328,3,27.6,95% C.I.: 27.1 - 28.2,Lowest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
701,8035014108,"Census Tract 141.08, Douglas County, Colorado",Douglas,3567,3,30.1,95% C.I.: 29.5 - 30.7,Second Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
702,8035014202,"Census Tract 142.02, Douglas County, Colorado",Douglas,1487,3,30.3,95% C.I.: 29.7 - 31,Second Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
703,8035014116,"Census Tract 141.16, Douglas County, Colorado",Douglas,4737,3,32.3,95% C.I.: 31.4 - 33.2,Highest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
704,8035014300,"Census Tract 143, Douglas County, Colorado",Douglas,698,3,27.3,95% C.I.: 26.8 - 27.9,Lowest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
705,8035014107,"Census Tract 141.07, Douglas County, Colorado",Douglas,2774,3,29.8,95% C.I.: 29.3 - 30.4,Second Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
706,8035014122,"Census Tract 141.22, Douglas County, Colorado",Douglas,4962,3,29.6,95% C.I.: 29 - 30.2,Lowest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
707,8035014602,"Census Tract 146.02, Douglas County, Colorado",Douglas,2188,3,28.8,95% C.I.: 28.2 - 29.4,Lowest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
708,8035013901,"Census Tract 139.01, Douglas County, Colorado",Douglas,6007,3,29.6,95% C.I.: 28.9 - 30.4,Lowest Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
709,8035014503,"Census Tract 145.03, Douglas County, Colorado",Douglas,4223,3,30.7,95% C.I.: 30 - 31.4,Middle Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
710,8035013909,"Census Tract 139.09, Douglas County, Colorado",Douglas,4640,3,30.7,95% C.I.: 30.1 - 31.4,Fourth Quintile,County/Regional Estimate 30.6% (95% C.I.: 27.8 - 33.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
711,8101003600,"Census Tract 36, Pueblo County, Colorado",Pueblo,1555,7,30.2,95% C.I.: 29 - 31.4,Fourth Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
712,8101003500,"Census Tract 35, Pueblo County, Colorado",Pueblo,1697,7,26.9,95% C.I.: 25.6 - 28.2,Lowest Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
713,8101002916,"Census Tract 29.16, Pueblo County, Colorado",Pueblo,2357,7,29.4,95% C.I.: 28.5 - 30.4,Second Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
714,8101002914,"Census Tract 29.14, Pueblo County, Colorado",Pueblo,2439,7,30.3,95% C.I.: 29.3 - 31.4,Fourth Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
715,8063962200,"Census Tract 9622, Kit Carson County, Colorado",Kit Carson,1005,5,44.8,95% C.I.: 40.9 - 48.3,Highest Quintile,County/Regional Estimate 37.5% (95% C.I.: 27.2 - 47.8),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
716,8063962300,"Census Tract 9623, Kit Carson County, Colorado",Kit Carson,795,5,42.7,95% C.I.: 39.7 - 45.7,Highest Quintile,County/Regional Estimate 37.5% (95% C.I.: 27.2 - 47.8),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
717,8063962100,"Census Tract 9621, Kit Carson County, Colorado",Kit Carson,4254,5,49.4,95% C.I.: 44.2 - 52.6,Highest Quintile,County/Regional Estimate 37.5% (95% C.I.: 27.2 - 47.8),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
718,8101002912,"Census Tract 29.12, Pueblo County, Colorado",Pueblo,1413,7,31.4,95% C.I.: 30.3 - 32.5,Fourth Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
719,8101980100,"Census Tract 9801, Pueblo County, Colorado",Pueblo,0,7,,,"No Estimate, Population < 50",County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),"No Estimate, Population < 50",State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
720,8101002917,"Census Tract 29.17, Pueblo County, Colorado",Pueblo,2326,7,31.6,95% C.I.: 30.7 - 32.6,Highest Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
721,8101003106,"Census Tract 31.06, Pueblo County, Colorado",Pueblo,1005,7,28.1,95% C.I.: 27.2 - 29.1,Lowest Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
722,8101003105,"Census Tract 31.05, Pueblo County, Colorado",Pueblo,2575,7,29.6,95% C.I.: 28.6 - 30.5,Second Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
723,8101002915,"Census Tract 29.15, Pueblo County, Colorado",Pueblo,1752,7,31.2,95% C.I.: 30.2 - 32.1,Fourth Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
724,8101002918,"Census Tract 29.18, Pueblo County, Colorado",Pueblo,4846,7,31.2,95% C.I.: 30.3 - 32.2,Fourth Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
725,8101002913,"Census Tract 29.13, Pueblo County, Colorado",Pueblo,2696,7,29.3,95% C.I.: 28.4 - 30.2,Second Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
726,8101002911,"Census Tract 29.11, Pueblo County, Colorado",Pueblo,2035,7,30.3,95% C.I.: 29.4 - 31.2,Fourth Quintile,County/Regional Estimate 29.2% (95% C.I.: 26.1 - 32.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
